PulseCount,NoiseAmp,UDD_Score,SFE_Score,Improvement_Pct
10,0.02,0.4271,0.7574,77.35
10,0.05,0.0200,0.0793,296.10
10,0.1,-0.0154,0.0565,467.45
10,0.15,-0.0580,0.0913,257.42
10,0.2,0.0347,0.0571,64.37
10,0.25,-0.0168,0.0765,554.73
10,0.3,0.0032,0.1114,3378.69
20,0.02,0.6550,0.8711,32.98
20,0.05,0.0331,0.0809,144.17
20,0.1,0.0605,0.0817,35.04
20,0.15,0.0195,0.0691,255.19
20,0.2,-0.0293,0.0826,381.96
20,0.25,-0.0153,0.0651,524.23
20,0.3,-0.0191,0.0821,530.83
30,0.02,0.8576,0.9412,9.75
30,0.05,0.1066,0.1330,24.81
30,0.1,-0.0367,0.0630,271.53
30,0.15,-0.0362,0.1083,399.38
30,0.2,-0.0077,0.0695,1008.21
30,0.25,0.0266,0.0944,254.73
30,0.3,-0.0098,0.0880,999.52
40,0.02,0.8481,0.9003,6.15
40,0.05,0.0411,0.1648,300.66
40,0.1,-0.0278,0.0692,349.18
40,0.15,-0.0297,0.0827,378.07
40,0.2,0.0130,0.1141,778.25
40,0.25,0.0364,0.1091,199.79
40,0.3,-0.0252,0.0778,408.85
50,0.02,0.8887,0.9350,5.22
50,0.05,0.0230,0.1232,435.70
50,0.1,0.0161,0.1025,535.73
50,0.15,-0.0128,0.0835,751.41
50,0.2,-0.0245,0.0944,485.24
50,0.25,-0.0059,0.0713,1307.17
50,0.3,0.0253,0.1070,322.86
60,0.02,0.8988,0.9622,7.05
60,0.05,0.0989,0.1655,67.29
60,0.1,0.0119,0.1102,826.37
60,0.15,-0.0073,0.0838,1243.94
60,0.2,-0.0198,0.0968,587.80
60,0.25,0.0150,0.1169,680.02
60,0.3,-0.0004,0.0953,21438.23
80,0.02,0.9304,0.9616,3.35
80,0.05,0.1714,0.2430,41.78
80,0.1,-0.0309,0.0952,407.89
80,0.15,0.0442,0.1143,158.52
80,0.2,0.0147,0.1230,738.87
80,0.25,0.0470,0.1167,148.17
80,0.3,0.0141,0.0844,499.36
100,0.02,0.9446,0.9585,1.48
100,0.05,0.1846,0.3956,114.28
100,0.1,-0.0413,0.0998,341.53
100,0.15,0.0338,0.0977,189.02
100,0.2,0.0033,0.1241,3702.65
100,0.25,-0.0111,0.0950,954.32
100,0.3,-0.0129,0.1071,928.79
120,0.02,0.9722,0.9796,0.76
120,0.05,0.3431,0.4266,24.32
120,0.1,-0.0504,0.1118,321.56
120,0.15,0.0379,0.0898,137.12
120,0.2,-0.0069,0.1190,1831.33
120,0.25,-0.0231,0.0936,504.72
120,0.3,-0.0311,0.0945,403.71
160,0.02,0.9724,0.9807,0.85
160,0.05,0.3126,0.4987,59.55
160,0.1,0.0501,0.1502,200.08
160,0.15,-0.0068,0.1278,1989.92
160,0.2,-0.0121,0.1059,973.54
160,0.25,-0.0003,0.0965,35497.33
160,0.3,0.0363,0.0891,145.29
