Step,TrueNoise,ResidualNoise,ReductionRatio
0,1.160519,1.160519,0.00
1,1.115635,1.115635,0.00
2,1.069680,0.093167,91.29
3,1.022937,0.108988,89.35
4,0.975606,0.131153,86.56
5,0.927776,0.155010,83.29
6,0.879795,0.178642,79.69
7,0.831736,0.201810,75.74
8,0.783754,0.224539,71.35
9,0.735997,0.244084,66.84
10,0.688794,0.261027,62.10
11,0.642055,0.276152,56.99
12,0.595999,0.287191,51.81
13,0.550586,0.296592,46.13
14,0.506033,0.303384,40.05
15,0.462279,0.305107,34.00
16,0.419351,0.304756,27.33
17,0.377304,0.301279,20.15
18,0.336154,0.293247,12.76
19,0.295728,0.285103,3.59
20,0.255979,0.274973,-7.42
21,0.216904,0.262344,-20.95
22,0.178286,0.247399,-38.77
23,0.139837,0.230145,-64.58
24,0.101188,0.211231,-108.75
25,0.062177,0.191349,-207.75
26,0.022208,0.171092,-670.42
27,-0.019290,0.149598,-675.52
28,-0.063345,0.129555,-104.52
29,-0.111636,0.109396,2.01
30,-0.166711,0.095830,42.52
31,-0.234555,0.143099,38.99
32,-0.335252,0.040864,87.81
33,-0.476021,-0.143205,69.92
34,-0.460088,-0.171169,62.80
35,-0.443550,-0.199009,55.13
36,-0.426627,-0.226303,46.96
37,-0.409265,-0.252575,38.29
38,-0.391718,-0.278028,29.02
39,-0.374152,-0.302492,19.15
40,-0.356647,-0.325765,8.66
41,-0.339245,-0.347491,-2.43
42,-0.321921,-0.367275,-14.09
43,-0.305053,-0.385560,-26.39
44,-0.288488,-0.401742,-39.26
45,-0.272309,-0.415782,-52.69
46,-0.256637,-0.427504,-66.58
47,-0.241496,-0.436946,-80.93
48,-0.226891,-0.444066,-95.72
49,-0.212714,-0.448581,-110.88
50,-0.199108,-0.450650,-126.33
51,-0.186042,-0.450130,-141.95
52,-0.173485,-0.447106,-157.72
53,-0.161491,-0.441661,-173.49
54,-0.149871,-0.433616,-189.33
55,-0.138730,-0.423172,-205.03
56,-0.127903,-0.410408,-220.87
57,-0.117434,-0.395389,-236.69
58,-0.107259,-0.378230,-252.63
59,-0.097340,-0.359002,-268.81
60,-0.087538,-0.337895,-286.00
61,-0.077737,-0.314915,-305.11
62,-0.067910,-0.290249,-327.40
63,-0.058068,-0.264177,-354.94
64,-0.048189,-0.236940,-391.69
65,-0.038153,-0.208567,-446.66
66,-0.027767,-0.179172,-545.27
67,-0.017124,-0.149138,-770.94
68,-0.006179,-0.118669,-1820.57
69,0.005036,-0.087969,-1646.89
70,0.016868,-0.056997,-237.90
71,0.029090,-0.026146,10.12
72,0.041656,0.004228,89.85
73,0.054681,0.033976,37.86
74,0.068141,0.062890,7.71
75,0.082121,0.090940,-10.74
76,0.096525,0.117843,-22.09
77,0.111239,0.143204,-28.74
78,0.126378,0.167064,-32.19
79,0.141839,0.189168,-33.37
80,0.157528,0.209415,-32.94
81,0.173427,0.227756,-31.33
82,0.189533,0.244132,-28.81
83,0.205549,0.258277,-25.65
84,0.221596,0.270275,-21.97
85,0.237503,0.279913,-17.86
86,0.253147,0.287263,-13.48
87,0.268531,0.292583,-8.96
88,0.283464,0.295680,-4.31
89,0.297862,0.296585,0.43
90,0.311704,0.295575,5.17
91,0.324755,0.292653,9.88
92,0.337106,0.288044,14.55
93,0.348404,0.281666,19.16
94,0.358665,0.273771,23.67
95,0.367855,0.264439,28.11
96,0.375773,0.253830,32.45
97,0.382340,0.242169,36.66
98,0.387549,0.229525,40.78
99,0.391451,0.216433,44.71
100,0.393704,0.202598,48.54
101,0.394395,0.188327,52.25
102,0.589008,0.369421,37.28
103,0.668946,0.437439,34.61
104,0.727187,0.485463,33.24
105,0.773227,0.523308,32.32
106,0.810686,0.554607,31.59
107,0.841283,0.581404,30.89
108,0.866072,0.604594,30.19
109,0.885742,0.424565,52.07
110,0.900955,0.355358,60.56
111,0.911831,0.305963,66.45
112,0.918830,0.267911,70.84
113,0.922163,0.236300,74.38
114,0.922157,0.209408,77.29
115,0.918789,0.185813,79.78
116,0.912326,0.166914,81.70
117,0.903025,0.151081,83.27
118,0.890971,0.137472,84.57
119,0.876430,0.126349,85.58
120,0.859482,0.117267,86.36
121,0.840239,0.110395,86.86
