Step,TrueNoise,ResidualNoise,ReductionRatio
0,1.160583,1.160583,0.00
1,1.115592,1.115592,0.00
2,1.069637,0.091077,91.49
3,1.022949,0.109611,89.28
4,0.975546,0.132421,86.43
5,0.927806,0.155263,83.27
6,0.879763,0.178358,79.73
7,0.831760,0.202124,75.70
8,0.783800,0.224356,71.38
9,0.736151,0.243958,66.86
10,0.688936,0.261076,62.10
11,0.642282,0.275396,57.12
12,0.596159,0.288429,51.62
13,0.550786,0.298473,45.81
14,0.506230,0.304871,39.78
15,0.462597,0.307817,33.46
16,0.419716,0.305971,27.10
17,0.377751,0.300187,20.53
18,0.336561,0.293246,12.87
19,0.296153,0.283636,4.23
20,0.256403,0.271214,-5.78
21,0.217211,0.258873,-19.18
22,0.178544,0.242654,-35.91
23,0.140013,0.225803,-61.27
24,0.101529,0.206665,-103.55
25,0.062510,0.187642,-200.18
26,0.022585,0.165996,-634.99
27,-0.018909,0.144212,-662.67
28,-0.062912,0.121009,-92.35
29,-0.110965,0.099595,10.25
30,-0.165854,0.084478,49.06
31,-0.233265,0.107204,54.04
32,-0.333218,0.042708,87.18
33,-0.475574,-0.142960,69.94
34,-0.459619,-0.170781,62.84
35,-0.443109,-0.198338,55.24
36,-0.426163,-0.225304,47.13
37,-0.408816,-0.251575,38.46
38,-0.391466,-0.277237,29.18
39,-0.373876,-0.301650,19.32
40,-0.356351,-0.324668,8.89
41,-0.338924,-0.346180,-2.14
42,-0.321736,-0.366223,-13.83
43,-0.304894,-0.384461,-26.10
44,-0.288387,-0.400616,-38.92
45,-0.272278,-0.414779,-52.34
46,-0.256699,-0.426671,-66.21
47,-0.241456,-0.436051,-80.59
48,-0.226803,-0.443145,-95.39
49,-0.212750,-0.447837,-110.50
50,-0.199137,-0.449869,-125.91
51,-0.186154,-0.449536,-141.49
52,-0.173569,-0.446585,-157.29
53,-0.161521,-0.441117,-173.10
54,-0.149905,-0.433232,-189.00
55,-0.138727,-0.422917,-204.86
56,-0.128013,-0.410361,-220.56
57,-0.117520,-0.395429,-236.48
58,-0.107270,-0.378252,-252.62
59,-0.097240,-0.359058,-269.25
60,-0.087343,-0.337954,-286.93
61,-0.077478,-0.315034,-306.61
62,-0.067673,-0.290459,-329.21
63,-0.057841,-0.264463,-357.22
64,-0.047956,-0.237255,-394.73
65,-0.037946,-0.208978,-450.73
66,-0.027625,-0.179744,-550.65
67,-0.017048,-0.149821,-778.83
68,-0.006137,-0.119395,-1845.54
69,0.005189,-0.088600,-1607.39
70,0.016852,-0.057766,-242.79
71,0.028879,-0.027163,5.94
72,0.041517,0.003256,92.16
73,0.054486,0.033056,39.33
74,0.067953,0.062076,8.65
75,0.081901,0.090192,-10.12
76,0.096252,0.117068,-21.63
77,0.111087,0.142668,-28.43
78,0.126154,0.166558,-32.03
79,0.141551,0.188762,-33.35
80,0.157235,0.209071,-32.97
81,0.173142,0.227436,-31.36
82,0.189150,0.243772,-28.88
83,0.205213,0.257993,-25.72
84,0.221289,0.270051,-22.04
85,0.237188,0.279768,-17.95
86,0.252816,0.287211,-13.60
87,0.268123,0.292567,-9.12
88,0.283101,0.295814,-4.49
89,0.297546,0.296887,0.22
90,0.311289,0.295894,4.95
91,0.324490,0.293120,9.67
92,0.336753,0.288457,14.34
93,0.348085,0.282100,18.96
94,0.358413,0.274338,23.46
95,0.367637,0.265163,27.87
96,0.375537,0.254617,32.20
97,0.382187,0.243060,36.40
98,0.387430,0.230480,40.51
99,0.391326,0.217247,44.48
100,0.393626,0.203471,48.31
101,0.394430,0.189360,51.99
102,0.589699,0.371064,37.08
103,0.669611,0.438901,34.45
104,0.727903,0.486933,33.10
105,0.773980,0.524730,32.20
106,0.811379,0.555942,31.48
107,0.841925,0.582604,30.80
108,0.866766,0.605830,30.10
109,0.886456,0.432099,51.26
110,0.901585,0.359880,60.08
111,0.912476,0.309774,66.05
112,0.919520,0.269795,70.66
113,0.922889,0.237071,74.31
114,0.922754,0.209269,77.32
115,0.919398,0.186699,79.69
116,0.912946,0.166438,81.77
117,0.903724,0.149287,83.48
118,0.891744,0.136127,84.73
119,0.877120,0.125183,85.73
120,0.860214,0.116556,86.45
121,0.841102,0.110441,86.87
122,0.819803,0.105017,87.19
123,0.796561,0.102096,87.18
124,0.771643,0.100949,86.92
125,0.745096,0.101096,86.43
126,0.717096,0.102177,85.75
127,0.687572,0.104095,84.86
128,0.656911,0.107732,83.60
129,0.625202,0.112523,82.00
130,0.592575,0.117142,80.23
131,0.559154,0.122465,78.10
132,0.525033,0.127911,75.64
133,0.490099,0.134214,72.61
134,0.454543,0.140614,69.06
135,0.418563,0.146440,65.01
136,0.381975,0.152136,60.17
137,0.344957,0.157828,54.25
138,0.307309,0.162792,47.03
139,0.269048,0.167888,37.60
140,0.229920,0.172488,24.98
141,0.189882,0.176600,6.99
142,0.148530,0.183015,-23.22
143,0.105469,0.189490,-79.66
144,0.059957,0.199524,-232.78
145,0.010808,0.220372,-1939.06
146,-0.044073,0.304683,-591.31
147,-0.109274,0.273551,-150.34
148,-0.199571,0.171740,13.95
149,-0.340829,0.016745,95.09
150,-0.337561,0.004344,98.71
151,-0.333027,-0.008666,97.40
152,-0.327341,-0.022002,93.28
153,-0.320665,-0.035610,88.89
154,-0.313017,-0.049462,84.20
155,-0.304436,-0.063213,79.24
156,-0.295071,-0.076801,73.97
157,-0.284821,-0.089894,68.44
158,-0.274074,-0.102599,62.57
159,-0.262685,-0.114318,56.48
160,-0.250836,-0.125319,50.04
161,-0.238614,-0.135340,43.28
162,-0.226124,-0.144095,36.28
163,-0.213280,-0.151410,29.01
164,-0.200395,-0.157342,21.48
165,-0.187261,-0.161620,13.69
166,-0.174190,-0.164233,5.72
167,-0.161168,-0.165264,-2.54
168,-0.148249,-0.164355,-10.86
169,-0.135436,-0.161416,-19.18
170,-0.122884,-0.156678,-27.50
171,-0.110543,-0.149883,-35.59
172,-0.098466,-0.141247,-43.45
173,-0.086662,-0.130508,-50.59
174,-0.075111,-0.117838,-56.89
175,-0.063882,-0.103344,-61.77
176,-0.052903,-0.087133,-64.70
177,-0.042361,-0.069381,-63.79
178,-0.032085,-0.050157,-56.33
179,-0.022008,-0.029385,-33.52
180,-0.012233,-0.007642,37.53
181,-0.002782,0.015171,-445.30
182,0.006507,0.038735,-495.28
183,0.015542,0.062904,-304.73
184,0.024312,0.087509,-259.94
185,0.032985,0.112222,-240.22
186,0.041615,0.136780,-228.67
187,0.050137,0.161135,-221.39
188,0.058672,0.184817,-215.00
189,0.067120,0.207535,-209.20
190,0.075575,0.229118,-203.17
191,0.084125,0.249427,-196.50
192,0.092771,0.268320,-189.23
193,0.101354,0.285139,-181.33
194,0.110127,0.300077,-172.48
195,0.119002,0.312960,-162.99
196,0.128031,0.323477,-152.66
197,0.137228,0.331512,-141.58
198,0.146584,0.336800,-129.77
199,0.156103,0.339296,-117.35
200,0.165767,0.338961,-104.48
201,0.175460,0.335485,-91.20
202,0.185326,0.329304,-77.69
203,0.195215,0.319980,-63.91
204,0.205301,0.307742,-49.90
205,0.215314,0.292518,-35.86
206,0.225320,0.274568,-21.86
207,0.235120,0.253680,-7.89
208,0.244958,0.230192,6.03
209,0.254661,0.204217,19.81
210,0.264068,0.175877,33.40
211,0.273281,0.145417,46.79
212,0.282173,0.113021,59.95
213,0.290687,0.079021,72.82
214,0.298644,0.043469,85.44
215,0.306146,0.006688,97.82
216,0.313022,-0.031094,90.07
217,0.391070,0.002364,99.40
218,0.518894,0.086095,83.41
219,0.595498,0.119392,79.95
220,0.656223,0.138009,78.97
221,0.707927,-0.008074,98.86
222,0.753339,-0.146317,80.58
223,0.793744,-0.240080,69.75
224,0.830114,-0.316425,61.88
225,0.862913,-0.382353,55.69
226,0.892445,-0.441601,50.52
227,0.918830,-0.494569,46.17
228,0.942451,-0.542776,42.41
229,0.963244,-0.585582,39.21
230,0.981448,-0.622611,36.56
231,0.997055,-0.655532,34.25
232,1.010228,-0.682579,32.43
233,1.021045,-0.705077,30.95
234,1.029499,-0.722156,29.85
235,1.035555,-0.735141,29.01
236,1.039339,-0.743264,28.49
237,1.041003,-0.746579,28.28
238,1.040428,-0.744941,28.40
239,1.037863,-0.738626,28.83
240,1.033310,-0.727639,29.58
241,1.026787,-0.712616,30.60
242,1.018369,-0.693660,31.89
243,1.008235,-0.670684,33.48
244,0.996444,-0.643260,35.44
245,0.983121,-0.612884,37.66
246,0.968183,-0.578800,40.22
247,0.951880,-0.541833,43.08
248,0.934222,-0.502020,46.26
249,0.915373,-0.459563,49.79
250,0.895442,-0.414707,53.69
251,0.874468,-0.367694,57.95
252,0.852534,-0.319299,62.55
253,0.829734,-0.269265,67.55
254,0.806250,-0.218028,72.96
255,0.782105,-0.166110,78.76
256,0.757442,-0.113621,85.00
257,0.732318,-0.061195,91.64
258,0.706753,-0.008638,98.78
259,0.680885,0.043381,93.63
260,0.654745,0.094839,85.52
261,0.628368,0.145364,76.87
