Step,TrueNoise,ResidualNoise,ReductionRatio
0,1.160485,1.160485,0.00
1,1.115562,1.115562,0.00
2,1.069573,0.090816,91.51
3,1.022840,0.108869,89.36
4,0.975439,0.131777,86.49
5,0.927631,0.155628,83.22
6,0.879644,0.179785,79.56
7,0.831549,0.201813,75.73
8,0.783603,0.224070,71.41
9,0.735949,0.244235,66.81
10,0.688669,0.260777,62.13
11,0.641943,0.275627,57.06
12,0.595814,0.286878,51.85
13,0.550495,0.294515,46.50
14,0.505823,0.298849,40.92
15,0.462123,0.301652,34.72
16,0.419312,0.299741,28.52
17,0.377331,0.295138,21.78
18,0.336199,0.287629,14.45
19,0.295785,0.277834,6.07
20,0.256033,0.266944,-4.26
21,0.216869,0.255056,-17.61
22,0.178229,0.241838,-35.69
23,0.139820,0.225035,-60.95
24,0.101182,0.208321,-105.89
25,0.062123,0.187641,-202.05
26,0.022211,0.166120,-647.92
27,-0.019256,0.146793,-662.34
28,-0.063406,0.125067,-97.25
29,-0.111579,0.103853,6.92
30,-0.166670,0.087689,47.39
31,-0.234402,0.109654,53.22
32,-0.334924,0.042016,87.46
33,-0.475766,-0.142252,70.10
34,-0.459789,-0.169951,63.04
35,-0.443351,-0.197713,55.40
36,-0.426359,-0.224875,47.26
37,-0.409169,-0.251394,38.56
38,-0.391687,-0.276849,29.32
39,-0.374191,-0.301388,19.46
40,-0.356688,-0.324663,8.98
41,-0.339294,-0.346342,-2.08
42,-0.322053,-0.366384,-13.76
43,-0.305208,-0.384671,-26.04
44,-0.288747,-0.401007,-38.88
45,-0.272678,-0.415232,-52.28
46,-0.256959,-0.427123,-66.22
47,-0.241779,-0.436612,-80.58
48,-0.227129,-0.443741,-95.37
49,-0.212981,-0.448434,-110.55
50,-0.199402,-0.450650,-126.00
51,-0.186326,-0.450273,-141.66
52,-0.173788,-0.447307,-157.39
53,-0.161794,-0.441937,-173.15
54,-0.150154,-0.434018,-189.05
55,-0.138931,-0.423652,-204.94
56,-0.128160,-0.411015,-220.70
57,-0.117666,-0.396024,-236.57
58,-0.107489,-0.378987,-252.58
59,-0.097490,-0.359817,-269.08
60,-0.087631,-0.338709,-286.52
61,-0.077838,-0.315821,-305.74
62,-0.068019,-0.291265,-328.21
63,-0.058196,-0.265264,-355.81
64,-0.048247,-0.237937,-393.17
65,-0.038112,-0.209449,-449.57
66,-0.027722,-0.180054,-549.50
67,-0.017128,-0.150018,-775.86
68,-0.006128,-0.119409,-1848.61
69,0.005273,-0.088533,-1578.93
70,0.017065,-0.057547,-237.22
71,0.029178,-0.026796,8.16
72,0.041759,0.003592,91.40
73,0.054724,0.033413,38.94
74,0.068286,0.062511,8.46
75,0.082184,0.090563,-10.20
76,0.096551,0.117445,-21.64
77,0.111325,0.142947,-28.40
78,0.126511,0.167039,-32.04
79,0.141960,0.189307,-33.35
80,0.157688,0.209690,-32.98
81,0.173594,0.228191,-31.45
82,0.189528,0.244523,-29.02
83,0.205582,0.258695,-25.84
84,0.221682,0.270691,-22.11
85,0.237645,0.280465,-18.02
86,0.253267,0.288008,-13.72
87,0.268593,0.293357,-9.22
88,0.283541,0.296519,-4.58
89,0.297989,0.297547,0.15
90,0.311914,0.296656,4.89
91,0.324996,0.293705,9.63
92,0.337187,0.288933,14.31
93,0.348440,0.282491,18.93
94,0.358742,0.274604,23.45
95,0.367909,0.265325,27.88
96,0.375900,0.254795,32.22
97,0.382426,0.243091,36.43
98,0.387594,0.230424,40.55
99,0.391334,0.217036,44.54
100,0.393555,0.203154,48.38
101,0.394208,0.188937,52.07
102,0.588405,0.369624,37.18
103,0.668419,0.437659,34.52
104,0.726734,0.485717,33.16
105,0.772727,0.523511,32.25
106,0.810098,0.554667,31.53
107,0.840632,0.581309,30.85
108,0.865480,0.604598,30.14
109,0.885225,0.430578,51.36
110,0.900384,0.357951,60.24
111,0.911392,0.308246,66.18
112,0.918517,0.269167,70.70
113,0.921795,0.236795,74.31
114,0.921728,0.209141,77.31
115,0.918464,0.186045,79.74
116,0.912027,0.165665,81.84
117,0.902751,0.149317,83.46
118,0.890767,0.135079,84.84
119,0.876292,0.123806,85.87
120,0.859340,0.115528,86.56
121,0.840198,0.108388,87.10
122,0.818970,0.103348,87.38
123,0.795724,0.100087,87.42
124,0.770771,0.099251,87.12
125,0.744234,0.099854,86.58
126,0.716268,0.101715,85.80
127,0.686932,0.104955,84.72
128,0.656227,0.108540,83.46
129,0.624580,0.113230,81.87
130,0.592005,0.118056,80.06
131,0.558599,0.123099,77.96
132,0.524508,0.129018,75.40
133,0.489627,0.135384,72.35
134,0.454208,0.141711,68.80
