Step,R,Suppression,X0,X1
0,0.200000,0.818731,1.000000,1.000000
1,0.193536,0.824041,0.991819,0.991819
2,0.187126,0.829339,0.983504,0.983504
3,0.180778,0.834621,0.975054,0.975054
4,0.174494,0.839882,0.966469,0.966469
5,0.168281,0.845116,0.957748,0.957748
6,0.162143,0.850319,0.948893,0.948893
7,0.156085,0.855487,0.939902,0.939902
8,0.150111,0.860613,0.930776,0.930776
9,0.144226,0.865692,0.921516,0.921516
10,0.138433,0.870721,0.912121,0.912121
11,0.132739,0.875694,0.902593,0.902593
12,0.127146,0.880605,0.892931,0.892931
13,0.121658,0.885451,0.883136,0.883136
14,0.116280,0.890226,0.873210,0.873210
15,0.111014,0.894926,0.863152,0.863152
16,0.105865,0.899546,0.852964,0.852964
17,0.100835,0.904082,0.842647,0.842647
18,0.095928,0.908530,0.832201,0.832201
19,0.091145,0.912885,0.821629,0.821629
20,0.086490,0.917145,0.810931,0.810931
21,0.081965,0.921305,0.800109,0.800109
22,0.077571,0.925361,0.789164,0.789164
23,0.073311,0.929312,0.778097,0.778097
24,0.069185,0.933154,0.766912,0.766912
25,0.065195,0.936884,0.755608,0.755608
26,0.061343,0.940501,0.744189,0.744189
27,0.057627,0.944002,0.732655,0.732655
28,0.054050,0.947385,0.721009,0.721009
29,0.050610,0.950649,0.709254,0.709254
30,0.047308,0.953794,0.697390,0.697390
31,0.044143,0.956817,0.685421,0.685421
32,0.041114,0.959720,0.673348,0.673348
33,0.038220,0.962501,0.661173,0.661173
34,0.035460,0.965161,0.648900,0.648900
35,0.032833,0.967700,0.636530,0.636530
36,0.030336,0.970120,0.624066,0.624066
37,0.027967,0.972420,0.611511,0.611511
38,0.025725,0.974604,0.598865,0.598865
39,0.023606,0.976671,0.586133,0.586133
40,0.021608,0.978624,0.573317,0.573317
41,0.019728,0.980465,0.560419,0.560419
42,0.017963,0.982197,0.547441,0.547441
43,0.016310,0.983822,0.534387,0.534387
44,0.014765,0.985343,0.521258,0.521258
45,0.013326,0.986763,0.508058,0.508058
46,0.011987,0.988085,0.494788,0.494788
47,0.010746,0.989312,0.481452,0.481452
48,0.009598,0.990447,0.468051,0.468051
49,0.008541,0.991495,0.454588,0.454588
50,0.007569,0.992459,0.441065,0.441065
51,0.006679,0.993343,0.427486,0.427486
52,0.005867,0.994150,0.413852,0.413852
53,0.005128,0.994885,0.400165,0.400165
54,0.004460,0.995550,0.386428,0.386428
55,0.003857,0.996151,0.372644,0.372644
56,0.003315,0.996690,0.358814,0.358814
57,0.002831,0.997173,0.344940,0.344940
58,0.002401,0.997601,0.331025,0.331025
59,0.002021,0.997981,0.317070,0.317070
60,0.001688,0.998314,0.303079,0.303079
61,0.001396,0.998605,0.289052,0.289052
62,0.001144,0.998857,0.274992,0.274992
63,0.000927,0.999074,0.260901,0.260901
64,0.000742,0.999258,0.246780,0.246780
65,0.000586,0.999414,0.232632,0.232632
66,0.000456,0.999545,0.218458,0.218458
67,0.000348,0.999652,0.204261,0.204261
68,0.000261,0.999739,0.190041,0.190041
69,0.000191,0.999809,0.175800,0.175800
70,0.000136,0.999864,0.161541,0.161541
71,0.000094,0.999906,0.147264,0.147264
72,0.000063,0.999937,0.132972,0.132972
73,0.000040,0.999960,0.118666,0.118666
74,0.000024,0.999976,0.104347,0.104347
75,0.000013,0.999987,0.090017,0.090017
76,0.000007,0.999993,0.075678,0.075678
77,0.000003,0.999997,0.061331,0.061331
78,0.000001,0.999999,0.046978,0.046978
79,0.000000,1.000000,0.032619,0.032619
80,0.000000,1.000000,0.018257,0.018257
81,0.000000,1.000000,0.003893,0.003893
82,0.000000,1.000000,-0.010472,-0.010472
83,0.000000,1.000000,-0.024837,-0.024837
84,0.000000,1.000000,-0.039199,-0.039199
85,0.000002,0.999998,-0.053557,-0.053557
86,0.000004,0.999996,-0.067910,-0.067910
87,0.000009,0.999991,-0.082257,-0.082257
88,0.000017,0.999983,-0.096596,-0.096596
89,0.000030,0.999970,-0.110925,-0.110925
90,0.000049,0.999951,-0.125243,-0.125243
91,0.000076,0.999924,-0.139549,-0.139549
92,0.000112,0.999888,-0.153841,-0.153841
93,0.000160,0.999840,-0.168117,-0.168117
94,0.000221,0.999779,-0.182376,-0.182376
95,0.000299,0.999701,-0.196616,-0.196616
96,0.000395,0.999605,-0.210836,-0.210836
97,0.000513,0.999487,-0.225033,-0.225033
98,0.000655,0.999345,-0.239207,-0.239207
99,0.000824,0.999176,-0.253355,-0.253355
100,0.001024,0.998977,-0.267475,-0.267475
101,0.001257,0.998744,-0.281566,-0.281566
102,0.001528,0.998474,-0.295626,-0.295626
103,0.001839,0.998163,-0.309653,-0.309653
104,0.002194,0.997808,-0.323645,-0.323645
105,0.002598,0.997405,-0.337600,-0.337600
106,0.003054,0.996951,-0.351516,-0.351516
107,0.003565,0.996441,-0.365391,-0.365391
108,0.004136,0.995872,-0.379222,-0.379222
109,0.004771,0.995240,-0.393008,-0.393008
110,0.005474,0.994541,-0.406746,-0.406746
111,0.006249,0.993770,-0.420435,-0.420435
112,0.007100,0.992925,-0.434071,-0.434071
113,0.008031,0.992001,-0.447653,-0.447653
114,0.009047,0.990994,-0.461177,-0.461177
115,0.010151,0.989901,-0.474643,-0.474643
116,0.011347,0.988717,-0.488047,-0.488047
117,0.012639,0.987440,-0.501387,-0.501387
118,0.014032,0.986066,-0.514660,-0.514660
119,0.015528,0.984592,-0.527864,-0.527864
120,0.017132,0.983014,-0.540997,-0.540997
121,0.018847,0.981329,-0.554055,-0.554055
122,0.020676,0.979536,-0.567037,-0.567037
123,0.022624,0.977630,-0.579940,-0.579940
124,0.024692,0.975611,-0.592761,-0.592761
125,0.026883,0.973475,-0.605498,-0.605498
126,0.029201,0.971221,-0.618148,-0.618148
127,0.031648,0.968848,-0.630709,-0.630709
128,0.034226,0.966353,-0.643178,-0.643178
129,0.036937,0.963737,-0.655553,-0.655553
130,0.039783,0.960998,-0.667832,-0.667832
131,0.042765,0.958136,-0.680011,-0.680011
132,0.045886,0.955151,-0.692089,-0.692089
133,0.049145,0.952043,-0.704063,-0.704063
134,0.052543,0.948814,-0.715931,-0.715931
135,0.056081,0.945462,-0.727691,-0.727691
136,0.059760,0.941991,-0.739341,-0.739341
137,0.063578,0.938401,-0.750879,-0.750879
138,0.067536,0.934694,-0.762302,-0.762302
139,0.071633,0.930872,-0.773608,-0.773608
140,0.075868,0.926939,-0.784796,-0.784796
141,0.080239,0.922896,-0.795865,-0.795865
142,0.084746,0.918746,-0.806811,-0.806811
143,0.089385,0.914493,-0.817634,-0.817634
144,0.094156,0.910141,-0.828332,-0.828332
145,0.099055,0.905692,-0.838904,-0.838904
146,0.104081,0.901152,-0.849348,-0.849348
147,0.109230,0.896524,-0.859663,-0.859663
148,0.114499,0.891812,-0.869848,-0.869848
149,0.119886,0.887022,-0.879902,-0.879902
150,0.125385,0.882157,-0.889824,-0.889824
151,0.130994,0.877223,-0.899612,-0.899612
152,0.136709,0.872224,-0.909267,-0.909267
153,0.142525,0.867166,-0.918788,-0.918788
154,0.148438,0.862053,-0.928173,-0.928173
155,0.154445,0.856891,-0.937423,-0.937423
156,0.160539,0.851684,-0.946538,-0.946538
157,0.166717,0.846439,-0.955516,-0.955516
158,0.172974,0.841159,-0.964358,-0.964358
159,0.179305,0.835851,-0.973063,-0.973063
160,0.185705,0.830518,-0.981632,-0.981632
161,0.192169,0.825167,-0.990065,-0.990065
162,0.198692,0.819802,-0.998361,-0.998361
163,0.205269,0.814428,-1.006522,-1.006522
164,0.211894,0.809050,-1.014547,-1.014547
165,0.218563,0.803673,-1.022437,-1.022437
166,0.225270,0.798301,-1.030192,-1.030192
167,0.232010,0.792938,-1.037813,-1.037813
168,0.238778,0.787590,-1.045301,-1.045301
169,0.245569,0.782259,-1.052655,-1.052655
170,0.252378,0.776951,-1.059877,-1.059877
171,0.259200,0.771669,-1.066968,-1.066968
172,0.266030,0.766416,-1.073928,-1.073928
173,0.272862,0.761198,-1.080758,-1.080758
174,0.279693,0.756016,-1.087459,-1.087459
175,0.286517,0.750874,-1.094033,-1.094033
176,0.293330,0.745776,-1.100479,-1.100479
177,0.300127,0.740724,-1.106799,-1.106799
178,0.306904,0.735721,-1.112995,-1.112995
179,0.313656,0.730770,-1.119067,-1.119067
180,0.320379,0.725874,-1.125016,-1.125016
181,0.327068,0.721034,-1.130843,-1.130843
182,0.333721,0.716254,-1.136550,-1.136550
183,0.340332,0.711534,-1.142137,-1.142137
184,0.346898,0.706878,-1.147606,-1.147606
185,0.353414,0.702286,-1.152958,-1.152958
186,0.359879,0.697761,-1.158195,-1.158195
187,0.366287,0.693304,-1.163317,-1.163317
188,0.372635,0.688916,-1.168325,-1.168325
189,0.378921,0.684600,-1.173221,-1.173221
190,0.385140,0.680355,-1.178006,-1.178006
191,0.391291,0.676184,-1.182681,-1.182681
192,0.397369,0.672086,-1.187247,-1.187247
193,0.403372,0.668064,-1.191705,-1.191705
194,0.409297,0.664117,-1.196058,-1.196058
195,0.415141,0.660247,-1.200305,-1.200305
196,0.420902,0.656454,-1.204448,-1.204448
197,0.426578,0.652739,-1.208488,-1.208488
198,0.432166,0.649102,-1.212426,-1.212426
199,0.437663,0.645543,-1.216263,-1.216263
200,0.443068,0.642063,-1.220001,-1.220001
201,0.448379,0.638663,-1.223641,-1.223641
202,0.453593,0.635341,-1.227182,-1.227182
203,0.458708,0.632100,-1.230628,-1.230628
204,0.463723,0.628938,-1.233978,-1.233978
205,0.468636,0.625855,-1.237233,-1.237233
206,0.473445,0.622853,-1.240395,-1.240395
207,0.478149,0.619930,-1.243465,-1.243465
208,0.482746,0.617086,-1.246443,-1.246443
209,0.487235,0.614323,-1.249330,-1.249330
210,0.491614,0.611639,-1.252128,-1.252128
211,0.495882,0.609034,-1.254836,-1.254836
212,0.500037,0.606508,-1.257457,-1.257457
213,0.504079,0.604061,-1.259991,-1.259991
214,0.508007,0.601694,-1.262438,-1.262438
215,0.511819,0.599404,-1.264799,-1.264799
216,0.515514,0.597194,-1.267076,-1.267076
217,0.519091,0.595061,-1.269269,-1.269269
218,0.522550,0.593006,-1.271378,-1.271378
219,0.525890,0.591029,-1.273404,-1.273404
220,0.529109,0.589129,-1.275349,-1.275349
221,0.532208,0.587307,-1.277212,-1.277212
222,0.535185,0.585561,-1.278994,-1.278994
223,0.538039,0.583892,-1.280696,-1.280696
224,0.540770,0.582299,-1.282318,-1.282318
225,0.543378,0.580783,-1.283861,-1.283861
226,0.545862,0.579342,-1.285326,-1.285326
227,0.548221,0.577977,-1.286712,-1.286712
228,0.550455,0.576687,-1.288021,-1.288021
229,0.552563,0.575473,-1.289253,-1.289253
