Step,R,Suppression,EnergyDensity
0,0.011542,0.988525,0.002354
1,0.010635,0.989422,0.002094
2,0.009777,0.990270,0.001858
3,0.008969,0.991072,0.001643
4,0.008207,0.991826,0.001448
5,0.007492,0.992536,0.001271
6,0.006821,0.993202,0.001113
7,0.006193,0.993826,0.000970
8,0.005607,0.994409,0.000842
9,0.005061,0.994951,0.000728
10,0.004554,0.995456,0.000627
11,0.004084,0.995924,0.000538
12,0.003650,0.996356,0.000459
13,0.003250,0.996755,0.000390
14,0.002882,0.997122,0.000329
15,0.002546,0.997457,0.000276
16,0.002238,0.997764,0.000231
17,0.001959,0.998043,0.000192
18,0.001706,0.998296,0.000158
19,0.001477,0.998524,0.000130
20,0.001272,0.998729,0.000105
21,0.001088,0.998912,0.000085
22,0.000925,0.999076,0.000068
23,0.000780,0.999220,0.000054
24,0.000653,0.999347,0.000043
25,0.000542,0.999458,0.000033
26,0.000445,0.999555,0.000026
27,0.000362,0.999638,0.000019
28,0.000291,0.999709,0.000015
29,0.000231,0.999769,0.000011
30,0.000180,0.999820,0.000008
31,0.000139,0.999861,0.000006
32,0.000104,0.999896,0.000004
33,0.000077,0.999923,0.000003
34,0.000055,0.999945,0.000002
35,0.000039,0.999961,0.000001
36,0.000026,0.999974,0.000001
37,0.000017,0.999983,0.000000
38,0.000010,0.999990,0.000000
39,0.000006,0.999994,0.000000
40,0.000003,0.999997,0.000000
41,0.000001,0.999999,0.000000
42,0.000001,0.999999,0.000000
43,0.000000,1.000000,0.000000
44,0.000000,1.000000,0.000000
45,0.000000,1.000000,0.000000
46,0.000000,1.000000,0.000000
47,0.000000,1.000000,0.000000
48,0.000000,1.000000,0.000000
49,0.000000,1.000000,0.000000
50,0.000001,0.999999,0.000000
51,0.000003,0.999997,0.000000
52,0.000005,0.999995,0.000000
53,0.000009,0.999991,0.000000
54,0.000016,0.999984,0.000000
55,0.000024,0.999976,0.000001
56,0.000036,0.999964,0.000001
57,0.000052,0.999948,0.000002
58,0.000073,0.999927,0.000003
59,0.000099,0.999901,0.000004
60,0.000132,0.999868,0.000005
61,0.000173,0.999827,0.000007
62,0.000222,0.999778,0.000010
63,0.000280,0.999720,0.000014
64,0.000349,0.999651,0.000019
65,0.000430,0.999570,0.000024
66,0.000525,0.999475,0.000032
67,0.000634,0.999367,0.000041
68,0.000758,0.999242,0.000052
69,0.000900,0.999100,0.000066
70,0.001060,0.998940,0.000082
71,0.001241,0.998760,0.000102
72,0.001443,0.998558,0.000126
73,0.001668,0.998334,0.000153
74,0.001917,0.998085,0.000186
75,0.002193,0.997810,0.000224
76,0.002496,0.997507,0.000269
77,0.002828,0.997176,0.000320
78,0.003191,0.996814,0.000380
79,0.003587,0.996420,0.000448
80,0.004016,0.995992,0.000525
81,0.004481,0.995529,0.000613
82,0.004983,0.995029,0.000712
83,0.005524,0.994491,0.000824
84,0.006105,0.993914,0.000950
85,0.006727,0.993295,0.001091
86,0.007393,0.992634,0.001248
87,0.008103,0.991930,0.001422
88,0.008859,0.991180,0.001614
89,0.009663,0.990384,0.001827
90,0.010515,0.989540,0.002061
91,0.011417,0.988648,0.002318
92,0.012371,0.987706,0.002598
93,0.013376,0.986713,0.002905
94,0.014435,0.985668,0.003239
95,0.015549,0.984571,0.003600
96,0.016718,0.983421,0.003993
97,0.017943,0.982217,0.004415
98,0.019226,0.980958,0.004872
99,0.020566,0.979644,0.005362
100,0.021964,0.978275,0.005888
101,0.023422,0.976850,0.006451
102,0.024939,0.975369,0.007052
103,0.026516,0.973832,0.007693
104,0.028153,0.972239,0.008375
105,0.029851,0.970590,0.009099
106,0.031609,0.968885,0.009865
107,0.033428,0.967125,0.010677
108,0.035307,0.965309,0.011533
109,0.037246,0.963439,0.012436
110,0.039245,0.961515,0.013384
111,0.041303,0.959538,0.014376
112,0.043421,0.957509,0.015422
113,0.045596,0.955427,0.016515
114,0.047830,0.953296,0.017655
115,0.050120,0.951115,0.018840
116,0.052467,0.948886,0.020083
117,0.054867,0.946611,0.021371
118,0.057318,0.944294,0.022705
119,0.059815,0.941939,0.024079
120,0.062353,0.939551,0.025510
121,0.064928,0.937135,0.026963
122,0.067533,0.934697,0.028468
123,0.070163,0.932242,0.030003
124,0.072811,0.929776,0.031570
125,0.075470,0.927307,0.033147
126,0.078133,0.924842,0.034758
127,0.080791,0.922387,0.036362
128,0.083436,0.919950,0.037985
129,0.086059,0.917540,0.039610
130,0.088652,0.915164,0.041229
131,0.091205,0.912830,0.042836
132,0.093709,0.910547,0.044434
133,0.096154,0.908324,0.045985
134,0.098531,0.906168,0.047512
135,0.100830,0.904087,0.048997
136,0.103040,0.902091,0.050422
137,0.105154,0.900186,0.051814
138,0.105154,0.900186,0.051814
139,0.103439,0.901731,0.050682
140,0.101617,0.903376,0.049525
141,0.099695,0.905114,0.048274
142,0.097681,0.906938,0.046959
143,0.095584,0.908842,0.045625
144,0.093413,0.910817,0.044235
145,0.091175,0.912858,0.042817
146,0.088880,0.914956,0.041362
147,0.086535,0.917103,0.039906
148,0.084150,0.919294,0.038430
149,0.081731,0.921519,0.036938
150,0.079289,0.923773,0.035447
151,0.076830,0.926048,0.033963
152,0.074361,0.928336,0.032480
153,0.071891,0.930633,0.031022
154,0.069425,0.932930,0.029561
155,0.066971,0.935222,0.028149
156,0.064534,0.937504,0.026745
157,0.062121,0.939769,0.025376
158,0.059736,0.942013,0.024036
159,0.057385,0.944231,0.022742
160,0.055071,0.946418,0.021481
161,0.052799,0.948571,0.020258
162,0.050572,0.950685,0.019086
163,0.048393,0.952759,0.017945
164,0.046263,0.954791,0.016853
165,0.044183,0.956779,0.015804
166,0.042153,0.958723,0.014795
167,0.040175,0.960622,0.013829
168,0.038248,0.962474,0.012908
169,0.036374,0.964280,0.012026
170,0.034553,0.966037,0.011187
171,0.032785,0.967747,0.010387
172,0.031070,0.969407,0.009628
173,0.029410,0.971018,0.008909
174,0.027803,0.972580,0.008228
175,0.026251,0.974091,0.007584
176,0.024752,0.975552,0.006977
177,0.023307,0.976963,0.006407
178,0.021915,0.978323,0.005869
179,0.020577,0.979633,0.005367
180,0.019292,0.980893,0.004896
181,0.018059,0.982103,0.004456
182,0.016878,0.983263,0.004047
183,0.015749,0.984375,0.003667
184,0.014670,0.985438,0.003313
185,0.013640,0.986452,0.002987
186,0.012660,0.987420,0.002686
187,0.011728,0.988340,0.002408
188,0.010844,0.989215,0.002153
189,0.010005,0.990045,0.001920
190,0.009212,0.990830,0.001707
191,0.008463,0.991573,0.001512
