Step,TrueNoise,ResidualNoise
0,1.01431779,1.01431779
1,0.99787497,0.99787497
2,0.98068589,-0.05995418
3,0.96276627,-3.02259398
4,0.94413762,-1.45779004
5,0.92481397,-0.87774829
6,0.90481026,-0.60725119
7,0.88414329,-0.45469927
8,0.86283238,-0.35267498
9,0.84089842,-0.27414286
10,0.81836387,-0.20856522
11,0.79523891,-0.15298820
12,0.77154678,-0.10734738
13,0.74730272,-0.07182300
14,0.72253120,-0.04576042
15,0.69725432,-0.02773233
16,0.67148948,-0.01596047
17,0.64526203,-0.00871082
18,0.61858642,-0.00453002
19,0.59149076,-0.00229406
20,0.56399171,-0.00122389
21,0.53610949,-0.00080012
22,0.50787522,-0.00069865
23,0.47930591,-0.00074002
24,0.45042425,-0.00082207
25,0.42125203,-0.00090741
26,0.39181456,-0.00097403
27,0.36214400,-0.00100695
28,0.33224727,-0.00102314
29,0.30215715,-0.00102002
30,0.27189549,-0.00101410
31,0.24148611,-0.00099448
32,0.21095708,-0.00096460
33,0.18032832,-0.00092956
34,0.14962007,-0.00089460
35,0.11885759,-0.00086477
36,0.08807047,-0.00083182
37,0.05727221,-0.00080085
38,0.02649211,-0.00076717
39,-0.00425267,-0.00074327
40,-0.03493925,-0.00072107
41,-0.06554428,-0.00069856
42,-0.09604149,-0.00066924
43,-0.12640592,-0.00063081
44,-0.15661826,-0.00059131
45,-0.18665036,-0.00054903
46,-0.21649154,-0.00051950
47,-0.24611107,-0.00049009
48,-0.27549438,-0.00047401
49,-0.30462165,-0.00045958
50,-0.33345871,-0.00043939
51,-0.36199746,-0.00042081
52,-0.39021184,-0.00039432
53,-0.41808074,-0.00037318
54,-0.44557774,-0.00034103
55,-0.47269080,-0.00030852
56,-0.49940458,-0.00028130
57,-0.52569748,-0.00026510
58,-0.55154261,-0.00024545
59,-0.57693690,-0.00023022
60,-0.60184880,-0.00020579
61,-0.62626880,-0.00019051
62,-0.65018109,-0.00017171
63,-0.67356187,-0.00015231
64,-0.69640113,-0.00013336
65,-0.71867926,-0.00010902
66,-0.74038509,-0.00008982
67,-0.76150483,-0.00007263
68,-0.78202226,-0.00005832
69,-0.80192459,-0.00004430
70,-0.82120036,-0.00003098
71,-0.83982923,-0.00001088
72,-0.85780715,0.00000701
73,-0.87512415,0.00002364
74,-0.89176330,0.00003694
75,-0.90771235,0.00005377
76,-0.92297120,0.00006840
77,-0.93752074,0.00008667
78,-0.95135830,0.00009771
79,-0.96448006,0.00010593
80,-0.97686849,0.00011497
81,-0.98852502,0.00011964
82,-0.99943830,0.00013017
83,-1.00959978,0.00014281
84,-1.01901131,0.00015451
85,-1.02766416,0.00016657
86,-1.03555113,0.00017776
87,-1.04267742,0.00018562
88,-1.04903059,0.00019729
89,-1.05461101,0.00020726
90,-1.05941987,0.00021853
91,-1.06345373,0.00022767
92,-1.06670981,0.00023605
93,-1.06918907,0.00024630
94,-1.07089665,0.00025346
95,-1.07182823,0.00026015
96,-1.07198492,0.00026664
97,-1.07136846,0.00027730
98,-1.06998406,0.00028763
99,-1.06783596,0.00029460
100,-1.06493103,0.00029415
101,-1.06126782,0.00029336
102,-1.05685787,0.00028804
103,-1.05169795,0.00029067
104,-1.04580224,0.00028944
105,-1.03917489,0.00029013
106,-1.03182707,0.00028268
107,-1.02375959,0.00027881
108,-1.01497791,0.00028067
109,-1.00549622,0.00028621
110,-0.99532558,0.00028954
111,-0.98447124,0.00028891
112,-0.97294545,0.00028533
113,-0.96075993,0.00028174
114,-0.94792470,0.00027623
115,-0.93444469,0.00027639
116,-0.92034300,0.00027288
117,-0.90562343,0.00027319
118,-0.89030680,0.00026284
119,-0.87440442,0.00025203
120,-0.85792356,0.00024159
121,-0.84088076,0.00023557
122,-0.82329562,0.00022932
123,-0.80517498,0.00022495
124,-0.78654035,0.00021490
125,-0.76740847,0.00020305
126,-0.74778762,0.00019217
127,-0.72769545,0.00018339
128,-0.70714457,0.00018476
129,-0.68616264,0.00017846
130,-0.66475634,0.00017361
131,-0.64294926,0.00015945
132,-0.62075499,0.00015060
133,-0.59819197,0.00013906
134,-0.57527611,0.00013085
135,-0.55203015,0.00011891
136,-0.52847302,0.00010311
137,-0.50462138,0.00008302
138,-0.48049273,0.00006327
139,-0.45610106,0.00005211
140,-0.43147501,0.00003887
141,-0.40662439,0.00003031
142,-0.38157288,0.00001599
143,-0.35633008,0.00001354
144,-0.33092688,0.00000472
145,-0.30537489,0.00000020
146,-0.27970590,-0.00002197
147,-0.25392618,-0.00003958
148,-0.22805542,-0.00005695
149,-0.20210784,-0.00005605
150,-0.17611373,-0.00005827
151,-0.15009555,-0.00007185
152,-0.12406652,-0.00009704
153,-0.09804187,-0.00011876
154,-0.07204222,-0.00012963
155,-0.04609658,-0.00014546
156,-0.02020729,-0.00015520
157,0.00559371,-0.00017397
158,0.03129501,-0.00018138
159,0.05687960,-0.00019270
160,0.08232119,-0.00020383
161,0.10760744,-0.00021533
162,0.13271599,-0.00023496
163,0.15762927,-0.00025348
164,0.18232580,-0.00027961
165,0.20679985,-0.00029621
166,0.23103500,-0.00030315
167,0.25500582,-0.00030363
168,0.27870174,-0.00030464
169,0.30210366,-0.00031390
170,0.32520300,-0.00031508
171,0.34797405,-0.00032176
172,0.37040067,-0.00033277
173,0.39246664,-0.00035605
174,0.41416075,-0.00038005
175,0.43546846,-0.00039888
176,0.45636875,-0.00041811
177,0.47685499,-0.00043343
178,0.49691402,-0.00044656
179,0.51653833,-0.00044536
180,0.53570473,-0.00044638
181,0.55440987,-0.00044273
182,0.57263604,-0.00044795
183,0.59037200,-0.00045265
184,0.60760945,-0.00045984
185,0.62433275,-0.00046980
186,0.64053403,-0.00047818
187,0.65620291,-0.00048908
188,0.67133416,-0.00049373
189,0.68591180,-0.00049921
190,0.69992478,-0.00050933
191,0.71336743,-0.00052587
192,0.72623729,-0.00053729
193,0.73851725,-0.00054906
194,0.75020768,-0.00055473
195,0.76130689,-0.00055667
196,0.77180054,-0.00055534
197,0.78168283,-0.00055546
198,0.79095241,-0.00056041
199,0.79960488,-0.00056447
200,0.80763264,-0.00056732
201,0.81503834,-0.00056535
