Step,TrueNoise,ResidualNoise
0,1.01431702,1.01431702
1,0.99787403,0.99787403
2,0.98068727,-0.05816921
3,0.96277095,-3.02252395
4,0.94414117,-1.45777330
5,0.92481857,-0.87774098
6,0.90482157,-0.60724561
7,0.88416057,-0.45468827
8,0.86285286,-0.35266158
9,0.84091514,-0.27413868
10,0.81837600,-0.20857321
11,0.79524342,-0.15300911
12,0.77154763,-0.10737053
13,0.74729643,-0.07184764
14,0.72252135,-0.04577835
15,0.69723874,-0.02774733
16,0.67147429,-0.01596468
17,0.64524634,-0.00870774
18,0.61856804,-0.00452271
19,0.59146773,-0.00228965
20,0.56396491,-0.00122460
21,0.53608410,-0.00079796
22,0.50784991,-0.00069320
23,0.47928047,-0.00073003
24,0.45040704,-0.00080482
25,0.42124387,-0.00088333
26,0.39181187,-0.00094667
27,0.36213538,-0.00099663
28,0.33223366,-0.00103287
29,0.30213895,-0.00104481
30,0.27186637,-0.00104576
31,0.24144732,-0.00102691
32,0.21090961,-0.00099527
33,0.18026846,-0.00095623
34,0.14954687,-0.00091866
35,0.11876453,-0.00089512
36,0.08795470,-0.00086820
37,0.05714323,-0.00083307
38,0.02635165,-0.00078462
39,-0.00440852,-0.00074587
40,-0.03510633,-0.00071587
41,-0.06572549,-0.00069559
42,-0.09622821,-0.00065697
43,-0.12660831,-0.00062537
44,-0.15683144,-0.00058392
45,-0.18687066,-0.00054602
46,-0.21671567,-0.00050656
47,-0.24634284,-0.00047435
48,-0.27573428,-0.00046089
49,-0.30485983,-0.00044481
50,-0.33370604,-0.00043082
51,-0.36224977,-0.00041141
52,-0.39047169,-0.00039689
53,-0.41834690,-0.00037618
54,-0.44585242,-0.00034794
55,-0.47297686,-0.00031987
56,-0.49969510,-0.00029113
57,-0.52598661,-0.00026460
58,-0.55183957,-0.00024005
59,-0.57722688,-0.00021129
60,-0.60214041,-0.00019114
61,-0.62655701,-0.00016829
62,-0.65046270,-0.00015125
63,-0.67384347,-0.00013614
64,-0.69668154,-0.00012335
65,-0.71895942,-0.00010964
66,-0.74066465,-0.00009434
67,-0.76178676,-0.00008189
68,-0.78230929,-0.00007361
69,-0.80221082,-0.00005872
70,-0.82148880,-0.00004448
71,-0.84012152,-0.00002148
72,-0.85810104,-0.00000271
73,-0.87541969,0.00001501
74,-0.89205665,0.00003532
75,-0.90801298,0.00004799
76,-0.92327123,0.00006544
77,-0.93781928,0.00008280
78,-0.95165446,0.00010247
79,-0.96476898,0.00011878
80,-0.97715325,0.00012975
81,-0.98880472,0.00013564
82,-0.99971526,0.00013957
83,-1.00987202,0.00014807
84,-1.01927414,0.00016100
85,-1.02791995,0.00017502
86,-1.03580680,0.00018094
87,-1.04292590,0.00018547
88,-1.04927849,0.00018827
89,-1.05485651,0.00019813
90,-1.05966008,0.00020867
91,-1.06369314,0.00021746
92,-1.06694863,0.00022593
93,-1.06943334,0.00022762
94,-1.07114181,0.00023312
95,-1.07207362,0.00024020
96,-1.07223503,0.00024846
97,-1.07163112,0.00025229
98,-1.07025977,0.00025305
99,-1.06812479,0.00025308
100,-1.06522560,0.00026157
101,-1.06157455,0.00026751
102,-1.05716845,0.00027796
103,-1.05201923,0.00028233
104,-1.04613222,0.00028628
105,-1.03951681,0.00028146
106,-1.03217834,0.00027430
107,-1.02411901,0.00027127
108,-1.01534956,0.00027249
109,-1.00588294,0.00027414
110,-0.99572657,0.00027181
111,-0.98489263,0.00026228
112,-0.97338415,0.00025743
113,-0.96121201,0.00025720
114,-0.94839045,0.00026083
115,-0.93492522,0.00026818
116,-0.92083639,0.00026856
117,-0.90613316,0.00026753
118,-0.89083137,0.00025717
119,-0.87494415,0.00024337
120,-0.85848258,0.00022908
121,-0.84146080,0.00021705
122,-0.82388748,0.00021434
123,-0.80577930,0.00021639
124,-0.78715638,0.00021762
125,-0.76803231,0.00021309
126,-0.74842265,0.00020197
127,-0.72834307,0.00019033
128,-0.70781191,0.00017707
129,-0.68684238,0.00016611
130,-0.66545415,0.00015350
131,-0.64366297,0.00014244
132,-0.62147881,0.00013757
133,-0.59892812,0.00013259
134,-0.57602826,0.00012667
135,-0.55278968,0.00011848
136,-0.52923952,0.00010593
137,-0.50539716,0.00009082
138,-0.48127727,0.00007008
139,-0.45689436,0.00005386
140,-0.43226183,0.00005264
141,-0.40741197,0.00004911
142,-0.38235746,0.00004457
143,-0.35712575,0.00002142
144,-0.33172594,0.00000205
145,-0.30618423,-0.00002153
146,-0.28051006,-0.00003145
147,-0.25472986,-0.00004310
148,-0.22886393,-0.00005360
149,-0.20291995,-0.00006028
150,-0.17692890,-0.00006987
151,-0.15091037,-0.00008033
152,-0.12487677,-0.00009685
153,-0.09885392,-0.00011620
154,-0.07285677,-0.00013084
155,-0.04689999,-0.00014172
156,-0.02099972,-0.00014260
157,0.00481158,-0.00014839
158,0.03051855,-0.00016322
159,0.05610776,-0.00018782
160,0.08155932,-0.00020635
161,0.10685106,-0.00022231
