Step,TrueNoise,ResidualNoise
0,1.01433570,1.01433570
1,0.99788907,0.99788907
2,0.98067843,-0.06432313
3,0.96271026,-2987.09968791
4,0.94401023,-4592.02577683
5,0.92459355,-2489.24348136
6,0.90447581,-6603.54096119
7,0.88368251,-5581.25645917
8,0.86222018,-5413.64816919
9,0.84011767,-2782.32234730
10,0.81738535,-1080.29877987
11,0.79405085,-327.50840500
12,0.77012686,-48.89208730
13,0.74563761,12.55945580
14,0.72060208,-17.24869724
15,0.69505005,-88.00715037
16,0.66899411,-173.97274476
17,0.64245426,-208.73393032
18,0.61546399,-197.03634029
19,0.58803614,-209.61336245
20,0.56019357,-240.11133795
21,0.53196727,-281.95592130
22,0.50337784,-328.01391014
23,0.47444431,-370.72555870
24,0.44519186,-401.47211893
25,0.41565043,-409.80693011
26,0.38584301,-385.07204018
27,0.35578420,-322.51467446
28,0.32550978,-239.28291025
29,0.29503780,-161.46058875
30,0.26439210,-102.01602423
31,0.23359564,-60.91255209
32,0.20267365,-33.87287958
33,0.17165431,-16.70784343
34,0.14056750,-6.27318932
35,0.10942774,-0.33735585
36,0.07826719,2.61606610
37,0.04711328,3.60461289
38,0.01597498,3.60108064
39,-0.01510857,19.50792618
40,-0.04611737,-0.71824651
41,-0.07703395,7.84270453
42,-0.10783217,6.76662375
43,-0.13849008,0.46270701
44,-0.16897526,7.08395105
45,-0.19927954,-10.52315562
46,-0.22936869,-3.09212870
47,-0.25922368,-11.97928973
48,-0.28881781,-3.85579959
49,-0.31814050,-14.88624446
50,-0.34716104,-2.93515541
51,-0.37585675,-15.35166854
52,-0.40420695,0.92942027
53,-0.43219254,-13.63733302
54,-0.45978907,3.26638020
55,-0.48697812,-12.39829982
56,-0.51373973,4.58559183
57,-0.54006395,-11.71633717
58,-0.56592211,3.89329262
59,-0.59130333,-11.12456501
60,-0.61618264,-0.87663135
61,-0.64055025,-10.45446816
62,-0.66438180,-9.65546930
63,-0.68766175,-9.44245276
64,-0.71037718,-8.79030982
65,-0.73251239,-8.10735513
66,-0.75405034,-7.44126902
67,-0.77497673,-6.82745307
68,-0.79528225,-6.24583463
69,-0.81494955,-5.70816402
70,-0.83396076,-5.19554071
71,-0.85230868,-4.70090128
72,-0.86998366,-4.21611128
73,-0.88697296,-3.73060793
74,-0.90325683,-3.21104453
75,-0.91883431,-2.61600560
76,-0.93369614,-1.85049161
77,-0.94783362,-0.89111136
78,-0.96123484,0.19174470
79,-0.97389371,1.41335363
80,-0.98580345,2.56156868
81,-0.99695896,4.34674742
82,-1.00735297,3.27862719
83,-1.01697620,15.95103472
84,-1.02582276,-0.57828887
85,-1.03388940,8.98574154
86,-1.04117357,12.45408067
87,-1.04767252,1.33514494
88,-1.05338335,5.36001743
89,-1.05830455,10.30350660
