Step,TrueNoise,ResidualNoise
0,1.01431634,1.01431634
1,0.99787340,0.99787340
2,0.98068867,-0.06392943
3,0.96277488,-3.02252077
4,0.94414798,-1.45776315
5,0.92482092,-0.87774166
6,0.90481917,-0.60725374
7,0.88415391,-0.45470488
8,0.86284822,-0.35267295
9,0.84091588,-0.27413924
10,0.81837702,-0.20856725
11,0.79525507,-0.15299123
12,0.77155792,-0.10735816
13,0.74731684,-0.07182829
14,0.72254912,-0.04576270
15,0.69727176,-0.02773003
16,0.67150427,-0.01596100
17,0.64526339,-0.00872868
18,0.61858343,-0.00455303
19,0.59147908,-0.00232258
20,0.56397915,-0.00123804
21,0.53609694,-0.00080287
22,0.50785276,-0.00069920
23,0.47927921,-0.00074023
24,0.45039937,-0.00082092
25,0.42123143,-0.00089422
26,0.39179418,-0.00095425
27,0.36211530,-0.00099767
28,0.33221383,-0.00102700
29,0.30211229,-0.00104004
30,0.27184433,-0.00103344
31,0.24142619,-0.00101521
32,0.21087756,-0.00098983
33,0.18022507,-0.00096734
34,0.14949366,-0.00094437
35,0.11870183,-0.00092000
36,0.08788267,-0.00088680
37,0.05705359,-0.00085397
38,0.02623280,-0.00082193
39,-0.00454597,-0.00078919
40,-0.03525679,-0.00075097
41,-0.06589095,-0.00070788
42,-0.09640898,-0.00065540
43,-0.12679563,-0.00061323
44,-0.15703505,-0.00057373
45,-0.18710092,-0.00054845
46,-0.21696348,-0.00052413
47,-0.24661115,-0.00050038
48,-0.27602384,-0.00047864
49,-0.30517335,-0.00046391
50,-0.33403259,-0.00043933
51,-0.36259509,-0.00041455
52,-0.39083172,-0.00038760
53,-0.41871621,-0.00036311
54,-0.44624223,-0.00033913
55,-0.47337667,-0.00030826
56,-0.50010779,-0.00028607
57,-0.52642091,-0.00026482
58,-0.55229549,-0.00025241
59,-0.57770777,-0.00023890
60,-0.60264785,-0.00022546
61,-0.62708759,-0.00020087
62,-0.65102285,-0.00018430
63,-0.67442980,-0.00016303
64,-0.69728649,-0.00014053
65,-0.71958559,-0.00011551
66,-0.74131255,-0.00009148
67,-0.76245116,-0.00007505
68,-0.78299017,-0.00006351
69,-0.80290640,-0.00004480
70,-0.82220003,-0.00003149
71,-0.84084709,-0.00000990
72,-0.85884268,0.00000325
73,-0.87616942,0.00002418
74,-0.89282549,0.00003591
75,-0.90879217,0.00005157
76,-0.92406888,0.00005689
77,-0.93863656,0.00006975
78,-0.95248776,0.00008278
79,-0.96561339,0.00010464
80,-0.97800641,0.00012785
81,-0.98966552,0.00014381
82,-1.00057822,0.00015807
83,-1.01074375,0.00016539
84,-1.02015652,0.00017155
85,-1.02880588,0.00017898
86,-1.03669380,0.00018616
87,-1.04381485,0.00019554
88,-1.05016329,0.00020453
89,-1.05574042,0.00021304
90,-1.06054667,0.00021900
91,-1.06457623,0.00022371
92,-1.06783232,0.00022558
93,-1.07031477,0.00022764
94,-1.07202354,0.00022779
95,-1.07295503,0.00023238
96,-1.07311456,0.00023943
97,-1.07250961,0.00024295
98,-1.07113046,0.00025086
99,-1.06899139,0.00025311
100,-1.06609222,0.00025964
101,-1.06243411,0.00026462
102,-1.05802519,0.00027079
103,-1.05287411,0.00027459
104,-1.04698496,0.00027427
105,-1.04036595,0.00026903
106,-1.03302173,0.00026503
107,-1.02495847,0.00026385
108,-1.01618889,0.00026229
109,-1.00671418,0.00026632
110,-0.99654816,0.00026858
111,-0.98570051,0.00027186
112,-0.97418300,0.00026982
113,-0.96200432,0.00026508
114,-0.94917250,0.00026247
115,-0.93570730,0.00025557
116,-0.92161033,0.00025471
117,-0.90690181,0.00024742
118,-0.89158939,0.00024637
119,-0.87569349,0.00023632
