Step,TrueNoise,ResidualNoise
0,1.01431758,1.01431758
1,0.99787546,0.99787546
2,0.98068655,-0.06170879
3,0.96276941,-3.02598504
4,0.94413682,-1.63886746
5,0.92480500,-1.05679070
6,0.90479821,-0.75491831
7,0.88412800,-0.57290379
8,0.86281726,-0.44851909
9,0.84088341,-0.35363142
10,0.81833991,-0.27474710
11,0.79520700,-0.20597911
12,0.77150468,-0.14580158
13,0.74726016,-0.09485575
14,0.72248187,-0.05422980
15,0.69719903,-0.02427473
16,0.67142607,-0.00427002
17,0.64518560,0.00740545
18,0.61849782,0.01278578
19,0.59138826,0.01391295
20,0.56387550,0.01252953
21,0.53599262,0.00997289
22,0.50774842,0.00712093
23,0.47916877,0.00450501
24,0.45027803,0.00236796
25,0.42109538,0.00077852
26,0.39165443,-0.00029198
27,0.36196765,-0.00094817
28,0.33206220,-0.00128952
29,0.30196243,-0.00142287
30,0.27168794,-0.00142828
31,0.24126358,-0.00136547
32,0.21070882,-0.00128162
33,0.18004947,-0.00119607
34,0.14931112,-0.00112052
35,0.11852402,-0.00104899
36,0.08770253,-0.00099117
37,0.05687041,-0.00094707
38,0.02605329,-0.00091963
39,-0.00472108,-0.00089601
40,-0.03543054,-0.00087139
41,-0.06604901,-0.00084057
42,-0.09655952,-0.00081424
43,-0.12694112,-0.00079739
44,-0.15716378,-0.00078686
45,-0.18721445,-0.00078620
46,-0.21707714,-0.00079629
47,-0.24671502,-0.00080663
48,-0.27610593,-0.00080919
49,-0.30524100,-0.00080726
50,-0.33408752,-0.00079936
51,-0.36262820,-0.00079506
52,-0.39084247,-0.00078569
53,-0.41871208,-0.00077963
54,-0.44621722,-0.00077660
55,-0.47333544,-0.00077356
56,-0.50005386,-0.00077495
57,-0.52634347,-0.00076935
58,-0.55219438,-0.00076731
59,-0.57758698,-0.00076260
60,-0.60249445,-0.00075306
61,-0.62691288,-0.00074820
62,-0.65082171,-0.00074322
63,-0.67419902,-0.00074019
64,-0.69703510,-0.00073774
65,-0.71931391,-0.00073416
66,-0.74101211,-0.00072548
67,-0.76212517,-0.00071907
68,-0.78263751,-0.00071239
69,-0.80253813,-0.00071404
70,-0.82180777,-0.00071350
71,-0.84043956,-0.00071459
72,-0.85841858,-0.00071119
73,-0.87573552,-0.00070970
74,-0.89238055,-0.00070871
75,-0.90833886,-0.00070482
76,-0.92359658,-0.00069359
77,-0.93814799,-0.00067662
78,-0.95198920,-0.00066180
79,-0.96510294,-0.00064512
80,-0.97748932,-0.00063404
81,-0.98913490,-0.00061812
82,-1.00004141,-0.00061027
83,-1.01019788,-0.00060166
84,-1.01960286,-0.00059960
85,-1.02824699,-0.00059425
86,-1.03612637,-0.00058663
87,-1.04324002,-0.00057724
88,-1.04958223,-0.00056588
89,-1.05515262,-0.00055591
90,-1.05995035,-0.00054683
91,-1.06397295,-0.00053912
92,-1.06721875,-0.00053070
93,-1.06968858,-0.00052128
94,-1.07138071,-0.00050888
95,-1.07229761,-0.00049587
96,-1.07244232,-0.00048342
97,-1.07182019,-0.00047627
98,-1.07043087,-0.00047146
99,-1.06827304,-0.00046282
100,-1.06535752,-0.00045442
101,-1.06168441,-0.00044206
102,-1.05726419,-0.00043550
103,-1.05209939,-0.00042881
104,-1.04619820,-0.00042605
105,-1.03956395,-0.00042056
106,-1.03220747,-0.00041601
107,-1.02413243,-0.00040746
108,-1.01534785,-0.00039781
109,-1.00586218,-0.00038506
110,-0.99568200,-0.00036892
111,-0.98482341,-0.00035636
112,-0.97329665,-0.00034850
113,-0.96110882,-0.00034400
114,-0.94826998,-0.00033760
115,-0.93479202,-0.00032781
116,-0.92068652,-0.00031564
117,-0.90596854,-0.00030522
118,-0.89065250,-0.00029893
119,-0.87474554,-0.00029119
120,-0.85826329,-0.00028267
121,-0.84121997,-0.00027105
122,-0.82363249,-0.00026263
123,-0.80551616,-0.00025817
124,-0.78688562,-0.00025736
125,-0.76775474,-0.00025664
126,-0.74813753,-0.00025237
127,-0.72804246,-0.00023627
128,-0.70749839,-0.00022207
129,-0.68651597,-0.00020585
130,-0.66511799,-0.00020132
131,-0.64331503,-0.00019559
132,-0.62112769,-0.00019295
133,-0.59857716,-0.00019271
134,-0.57567099,-0.00018703
135,-0.55243496,-0.00018281
136,-0.52888050,-0.00016994
137,-0.50502764,-0.00015673
138,-0.48089258,-0.00013857
139,-0.45650098,-0.00012610
140,-0.43187027,-0.00011926
141,-0.40701311,-0.00011403
142,-0.38195218,-0.00010811
143,-0.35670907,-0.00010262
144,-0.33129913,-0.00009802
145,-0.30574523,-0.00009754
146,-0.28006220,-0.00009314
147,-0.25427418,-0.00009239
148,-0.22839767,-0.00008965
149,-0.20245625,-0.00009215
150,-0.17645901,-0.00008687
151,-0.15043519,-0.00008479
152,-0.12440199,-0.00008079
153,-0.09837769,-0.00008177
154,-0.07237719,-0.00007841
155,-0.04642755,-0.00007735
156,-0.02053594,-0.00006789
157,0.00526387,-0.00006911
158,0.03097078,-0.00005788
159,0.05655173,-0.00005720
160,0.08199064,-0.00005423
161,0.10727934,-0.00005107
162,0.13239107,-0.00004817
163,0.15730985,-0.00004137
164,0.18202693,-0.00003110
165,0.20651190,-0.00002584
166,0.23075079,-0.00002210
167,0.25471900,-0.00003576
168,0.27841874,-0.00003885
169,0.30181662,-0.00004698
170,0.32491043,-0.00003805
171,0.34767497,-0.00003604
172,0.37010290,-0.00002447
173,0.39216675,-0.00002378
174,0.41386591,-0.00001570
175,0.43517531,-0.00001590
176,0.45608662,-0.00000972
177,0.47658465,-0.00000668
178,0.49666053,0.00000296
179,0.51629201,0.00000795
180,0.53546479,0.00000601
181,0.55417327,0.00000008
182,0.57240281,-0.00000628
183,0.59014473,-0.00000522
184,0.60738328,-0.00000504
185,0.62410743,-0.00000564
186,0.64030756,-0.00000970
187,0.65597301,-0.00001458
188,0.67109281,-0.00002080
189,0.68566261,-0.00002328
