Step,TrueNoise,ResidualNoise
0,1.01431426,1.01431426
1,0.99787407,0.99787407
2,0.98069179,-0.06191015
3,0.96277980,-3.02406490
4,0.94415143,-1.63985889
5,0.92483022,-1.05755244
6,0.90483500,-0.75348061
7,0.88417558,-0.56797730
8,0.86287133,-0.43956192
9,0.84094622,-0.34090063
10,0.81841308,-0.25931461
11,0.79528790,-0.18954209
12,0.77159700,-0.13023924
13,0.74736472,-0.08170869
14,0.72259923,-0.04433540
15,0.69732662,-0.01772882
16,0.67156527,-0.00061322
17,0.64534087,0.00890438
18,0.61867280,0.01288937
19,0.59157971,0.01325795
20,0.56408598,0.01157770
21,0.53621391,0.00899956
22,0.50798465,0.00628130
23,0.47941716,0.00384903
24,0.45053531,0.00189724
25,0.42136635,0.00046913
26,0.39193449,-0.00048117
27,0.36226124,-0.00104597
28,0.33237273,-0.00132626
29,0.30228545,-0.00142388
30,0.27202093,-0.00141498
31,0.24160458,-0.00135543
32,0.21106056,-0.00127559
33,0.18042215,-0.00118339
34,0.14969629,-0.00110635
35,0.11892025,-0.00103549
36,0.08811280,-0.00098509
37,0.05730201,-0.00093762
38,0.02650025,-0.00090881
39,-0.00426722,-0.00089265
40,-0.03496594,-0.00087940
41,-0.06558784,-0.00087245
42,-0.09609866,-0.00085551
43,-0.12648250,-0.00084588
44,-0.15671989,-0.00083896
45,-0.18678278,-0.00083708
46,-0.21664423,-0.00083195
47,-0.24628970,-0.00082481
48,-0.27570175,-0.00082305
49,-0.30484518,-0.00081915
50,-0.33371036,-0.00081969
51,-0.36226594,-0.00080780
52,-0.39050355,-0.00080538
53,-0.41839397,-0.00079837
54,-0.44591671,-0.00079273
55,-0.47306006,-0.00078861
56,-0.49979109,-0.00077614
57,-0.52610724,-0.00077382
58,-0.55197513,-0.00076155
59,-0.57739102,-0.00076273
60,-0.60232535,-0.00075549
61,-0.62676098,-0.00074811
62,-0.65068756,-0.00073814
63,-0.67409012,-0.00073310
64,-0.69694926,-0.00073281
65,-0.71925144,-0.00073484
66,-0.74098191,-0.00073626
67,-0.76212776,-0.00073939
