Step,TrueNoise,ResidualNoise
0,1.01560184,1.01560184
1,1.00059377,1.00059377
2,0.98497995,0.00143945
3,0.96876482,-0.00224987
4,0.95197683,-0.00290680
5,0.93462412,0.00129684
6,0.91672211,0.00257077
7,0.89827279,0.00254249
8,0.87930192,0.00233538
9,0.85982501,0.00034077
10,0.83984325,-0.00096572
11,0.81937919,-0.00015767
12,0.79844894,0.00077708
13,0.77707239,0.00143642
14,0.75525992,0.00217788
15,0.73302149,0.00264399
16,0.71037452,0.00081349
17,0.68733515,0.00016680
18,0.66391999,-0.00096931
19,0.64013931,-0.00055376
20,0.61602070,-0.00031609
21,0.59157299,-0.00032853
22,0.56682409,0.00024018
23,0.54178018,-0.00090899
24,0.51647004,-0.00175423
25,0.49089624,-0.00157107
26,0.46508190,-0.00235727
27,0.43905147,-0.00310073
28,0.41281381,-0.00372354
29,0.38639538,-0.00395197
30,0.35980262,-0.00435687
31,0.33306140,-0.00479416
32,0.30617616,-0.00485855
33,0.27918453,-0.00465851
34,0.25208724,-0.00451409
35,0.22490162,-0.00464991
36,0.19765869,-0.00510151
37,0.17036840,-0.00478828
38,0.14304709,-0.00478861
39,0.11571799,-0.00525209
40,0.08840136,-0.00512183
41,0.06111023,-0.00565601
42,0.03385241,-0.00543188
43,0.00665476,-0.00553131
44,-0.02047339,-0.00537441
45,-0.04750507,-0.00533730
46,-0.07442764,-0.00532229
47,-0.10122250,-0.00565467
48,-0.12788189,-0.00589359
49,-0.15438522,-0.00588640
50,-0.18071047,-0.00645709
51,-0.20685091,-0.00649492
52,-0.23277449,-0.00692128
53,-0.25848408,-0.00739731
54,-0.28395612,-0.00776054
55,-0.30917131,-0.00782120
56,-0.33412452,-0.00803974
57,-0.35879873,-0.00838083
58,-0.38317672,-0.00874373
59,-0.40723650,-0.00921083
60,-0.43097406,-0.00961630
61,-0.45437621,-0.00966925
62,-0.47742284,-0.00996024
63,-0.50011180,-0.01017110
64,-0.52242058,-0.01036195
65,-0.54432627,-0.01075931
66,-0.56583251,-0.01087719
67,-0.58692274,-0.01135504
68,-0.60758621,-0.01156102
69,-0.62781451,-0.01167195
70,-0.64758374,-0.01169432
71,-0.66689662,-0.01181063
72,-0.68572741,-0.01188484
73,-0.70408141,-0.01198657
74,-0.72193722,-0.01211919
75,-0.73929457,-0.01231163
76,-0.75613073,-0.01272897
77,-0.77245493,-0.01299722
78,-0.78824579,-0.01319385
79,-0.80350070,-0.01359847
80,-0.81820242,-0.01368911
81,-0.83235365,-0.01383547
82,-0.84594685,-0.01423705
83,-0.85897192,-0.01443886
84,-0.87143023,-0.01466677
85,-0.88330327,-0.01484643
86,-0.89459507,-0.01501426
87,-0.90529690,-0.01514597
88,-0.91540212,-0.01521075
89,-0.92490771,-0.01536337
90,-0.93382387,-0.01546237
91,-0.94212947,-0.01569806
92,-0.94983076,-0.01593032
93,-0.95691838,-0.01619101
94,-0.96338593,-0.01637604
95,-0.96924412,-0.01640262
96,-0.97447909,-0.01635654
97,-0.97909969,-0.01657146
98,-0.98310816,-0.01671247
99,-0.98649406,-0.01681509
100,-0.98926700,-0.01672167
101,-0.99143216,-0.01670988
102,-0.99297481,-0.01668358
103,-0.99389973,-0.01684374
104,-0.99421683,-0.01693560
105,-0.99391419,-0.01706389
106,-0.99301098,-0.01704084
107,-0.99149067,-0.01703171
108,-0.98937428,-0.01705554
109,-0.98665254,-0.01714512
110,-0.98333995,-0.01703356
111,-0.97943832,-0.01710462
112,-0.97494911,-0.01713523
113,-0.96987555,-0.01710481
114,-0.96421523,-0.01699255
115,-0.95798846,-0.01688597
116,-0.95119790,-0.01686924
