Step,TrueNoise,ResidualNoise
0,1.01431598,1.01431598
1,0.99787550,0.99787550
2,0.98068752,-0.06098571
3,0.96277394,-3.02401231
4,0.94414378,-1.63985833
5,0.92481816,-1.05755253
6,0.90481748,-0.75348464
7,0.88415436,-0.56798406
8,0.86284432,-0.43957049
9,0.84091236,-0.34091079
10,0.81837528,-0.25932370
11,0.79525465,-0.18954034
12,0.77156351,-0.13022975
13,0.74732364,-0.08170013
14,0.72255755,-0.04432871
15,0.69728135,-0.01772775
16,0.67151246,-0.00061658
17,0.64528181,0.00889587
18,0.61860876,0.01287818
19,0.59150829,0.01324573
20,0.56401275,0.01157135
21,0.53613604,0.00899582
22,0.50790597,0.00628524
23,0.47934576,0.00386500
24,0.45047599,0.00192987
25,0.42131245,0.00050793
26,0.39188983,-0.00044160
27,0.36222732,-0.00101249
28,0.33234267,-0.00130379
29,0.30225916,-0.00141345
30,0.27200353,-0.00141233
31,0.24159542,-0.00135454
32,0.21106637,-0.00126556
33,0.18043383,-0.00117561
34,0.14971901,-0.00109595
35,0.11895291,-0.00103042
36,0.08816508,-0.00097031
37,0.05736239,-0.00092624
38,0.02658207,-0.00088698
39,-0.00416369,-0.00086924
40,-0.03485334,-0.00085972
41,-0.06544847,-0.00084835
42,-0.09594493,-0.00084397
43,-0.12630783,-0.00082878
44,-0.15651788,-0.00082177
45,-0.18654637,-0.00080479
46,-0.21638277,-0.00079603
47,-0.24600559,-0.00079519
48,-0.27538012,-0.00079538
49,-0.30450106,-0.00080255
50,-0.33333166,-0.00079574
51,-0.36186230,-0.00079681
52,-0.39006777,-0.00079114
53,-0.41793037,-0.00079091
54,-0.44542184,-0.00078246
55,-0.47252877,-0.00077299
56,-0.49923779,-0.00076736
57,-0.52552666,-0.00076856
58,-0.55136769,-0.00076587
59,-0.57675223,-0.00076177
60,-0.60165973,-0.00075250
61,-0.62607873,-0.00075225
62,-0.64998949,-0.00075475
63,-0.67337175,-0.00075635
64,-0.69620820,-0.00075018
65,-0.71848211,-0.00073535
66,-0.74018913,-0.00072594
67,-0.76130468,-0.00071513
68,-0.78181546,-0.00070669
69,-0.80171606,-0.00070107
70,-0.82098939,-0.00069802
71,-0.83962125,-0.00069753
72,-0.85759855,-0.00069241
73,-0.87490488,-0.00067820
74,-0.89153766,-0.00066425
75,-0.90749177,-0.00065808
76,-0.92274383,-0.00065092
77,-0.93729777,-0.00065283
78,-0.95113590,-0.00064727
79,-0.96424715,-0.00063858
80,-0.97663538,-0.00063159
81,-0.98828221,-0.00061899
82,-0.99918667,-0.00061026
83,-1.00934657,-0.00060295
84,-1.01874795,-0.00059344
85,-1.02739170,-0.00058595
86,-1.03527227,-0.00057542
87,-1.04239133,-0.00057151
88,-1.04873851,-0.00056526
89,-1.05431269,-0.00055814
90,-1.05911594,-0.00054959
91,-1.06314292,-0.00053951
92,-1.06639383,-0.00052944
93,-1.06887117,-0.00051984
94,-1.07057152,-0.00050857
95,-1.07150062,-0.00050076
96,-1.07165913,-0.00049373
97,-1.07104710,-0.00048707
98,-1.06967061,-0.00048197
99,-1.06752607,-0.00047016
100,-1.06462504,-0.00046136
101,-1.06096242,-0.00044392
102,-1.05655506,-0.00043444
103,-1.05140159,-0.00042229
104,-1.04550847,-0.00041350
105,-1.03888524,-0.00040508
106,-1.03153615,-0.00039560
107,-1.02346723,-0.00038449
108,-1.01468995,-0.00037314
109,-1.00521058,-0.00035997
110,-0.99504669,-0.00035590
111,-0.98419777,-0.00034916
112,-0.97267693,-0.00034342
113,-0.96048977,-0.00032780
114,-0.94765519,-0.00031482
115,-0.93418463,-0.00030477
116,-0.92008753,-0.00029924
117,-0.90537797,-0.00029634
118,-0.89006927,-0.00029410
119,-0.87417218,-0.00029034
120,-0.85769459,-0.00027893
121,-0.84066123,-0.00026947
122,-0.82307670,-0.00025393
123,-0.80496701,-0.00024943
124,-0.78633704,-0.00023995
125,-0.76720777,-0.00023606
126,-0.74758871,-0.00022451
127,-0.72749711,-0.00021135
128,-0.70695251,-0.00019744
129,-0.68597080,-0.00018662
130,-0.66457399,-0.00018493
131,-0.64277341,-0.00018452
132,-0.62058664,-0.00018460
133,-0.59803713,-0.00018593
134,-0.57513400,-0.00018237
135,-0.55189832,-0.00017825
136,-0.52834529,-0.00016587
137,-0.50450062,-0.00015852
138,-0.48037717,-0.00015022
139,-0.45598856,-0.00013936
