Step,TrueNoise,ResidualNoise
0,1.01431424,1.01431424
1,0.99787540,0.99787540
2,0.98069135,-0.06028859
3,0.96277725,-3.02404704
4,0.94414852,-1.63985739
5,0.92482620,-1.05755369
6,0.90482807,-0.75348308
7,0.88417136,-0.56797651
8,0.86287758,-0.43954924
9,0.84095501,-0.34088274
10,0.81842352,-0.25929592
11,0.79530378,-0.18952617
12,0.77160981,-0.13023310
13,0.74737272,-0.08171277
14,0.72260663,-0.04434736
15,0.69733257,-0.01774368
16,0.67156629,-0.00062916
17,0.64533415,0.00888441
18,0.61865815,0.01286560
19,0.59156291,0.01323872
20,0.56406614,0.01156553
21,0.53619140,0.00899729
22,0.50796004,0.00628421
23,0.47939653,0.00386116
24,0.45051304,0.00191114
25,0.42134985,0.00049014
26,0.39191607,-0.00046688
27,0.36224086,-0.00103646
28,0.33234112,-0.00133561
29,0.30224749,-0.00144272
30,0.27198894,-0.00142800
31,0.24157586,-0.00135420
32,0.21104473,-0.00125001
33,0.18040987,-0.00115477
34,0.14970199,-0.00106435
35,0.11893232,-0.00100279
36,0.08813109,-0.00095829
37,0.05732076,-0.00093325
38,0.02652819,-0.00091098
39,-0.00422461,-0.00089093
40,-0.03491813,-0.00087395
41,-0.06553056,-0.00086389
42,-0.09603113,-0.00085085
43,-0.12640864,-0.00084344
44,-0.15662990,-0.00083027
45,-0.18667082,-0.00081751
46,-0.21651505,-0.00080198
47,-0.24614020,-0.00078992
48,-0.27551961,-0.00078065
49,-0.30464339,-0.00078131
50,-0.33347636,-0.00077561
51,-0.36200696,-0.00077598
52,-0.39021756,-0.00077650
53,-0.41808094,-0.00077915
54,-0.44557174,-0.00077392
55,-0.47268366,-0.00076898
56,-0.49939239,-0.00076339
57,-0.52567615,-0.00076221
58,-0.55152186,-0.00076188
59,-0.57690453,-0.00075526
60,-0.60180693,-0.00074662
61,-0.62622064,-0.00074053
62,-0.65012035,-0.00073347
63,-0.67349902,-0.00073694
64,-0.69633055,-0.00073365
65,-0.71860732,-0.00073506
66,-0.74030757,-0.00072834
67,-0.76142366,-0.00072582
68,-0.78193452,-0.00071751
69,-0.80182754,-0.00070810
70,-0.82109712,-0.00070098
71,-0.83972548,-0.00069534
72,-0.85770412,-0.00069576
73,-0.87501579,-0.00069084
74,-0.89164960,-0.00068235
75,-0.90759796,-0.00067053
76,-0.92285197,-0.00065980
77,-0.93739886,-0.00064945
78,-0.95123099,-0.00063907
79,-0.96433945,-0.00062643
80,-0.97672059,-0.00061737
81,-0.98836647,-0.00061109
82,-0.99926745,-0.00060528
83,-1.00942128,-0.00060005
84,-1.01882214,-0.00059458
85,-1.02746581,-0.00059118
86,-1.03534544,-0.00058518
87,-1.04246415,-0.00058329
88,-1.04881303,-0.00057850
89,-1.05438826,-0.00057183
90,-1.05918681,-0.00055750
91,-1.06321495,-0.00054560
92,-1.06646501,-0.00053135
93,-1.06894574,-0.00052618
94,-1.07064878,-0.00051706
95,-1.07157711,-0.00050872
96,-1.07173094,-0.00049408
97,-1.07111308,-0.00047780
98,-1.06972463,-0.00045893
99,-1.06757219,-0.00044237
100,-1.06466057,-0.00042910
101,-1.06099485,-0.00042183
102,-1.05658124,-0.00041952
103,-1.05142372,-0.00041869
104,-1.04552595,-0.00041485
105,-1.03889457,-0.00040687
106,-1.03154424,-0.00040213
107,-1.02347589,-0.00039614
108,-1.01469468,-0.00038722
109,-1.00521230,-0.00037359
110,-0.99504230,-0.00036204
111,-0.98418878,-0.00035080
112,-0.97266564,-0.00034328
113,-0.96048331,-0.00033629
114,-0.94764849,-0.00032730
115,-0.93417761,-0.00031998
116,-0.92007715,-0.00030754
117,-0.90536592,-0.00029981
118,-0.89004886,-0.00028670
119,-0.87414561,-0.00027757
120,-0.85766886,-0.00026835
121,-0.84062835,-0.00025886
122,-0.82303959,-0.00024754
123,-0.80492168,-0.00023822
124,-0.78628735,-0.00023078
125,-0.76714946,-0.00022414
126,-0.74752128,-0.00021238
127,-0.72743077,-0.00020717
128,-0.70687967,-0.00019635
129,-0.68589842,-0.00019671
130,-0.66449102,-0.00018738
131,-0.64268452,-0.00018540
132,-0.62049218,-0.00017962
133,-0.59793126,-0.00017608
134,-0.57502076,-0.00017171
135,-0.55177642,-0.00016497
136,-0.52822421,-0.00016472
137,-0.50437239,-0.00016024
138,-0.48024821,-0.00016171
139,-0.45586295,-0.00015615
140,-0.43123559,-0.00014915
141,-0.40639324,-0.00014462
142,-0.38134376,-0.00013579
143,-0.35611469,-0.00013329
144,-0.33072533,-0.00013069
145,-0.30519034,-0.00012988
146,-0.27952653,-0.00012436
147,-0.25374792,-0.00010634
148,-0.22788342,-0.00008906
149,-0.20195401,-0.00007733
150,-0.17597670,-0.00007690
151,-0.14997049,-0.00008092
152,-0.12394589,-0.00007557
153,-0.09792883,-0.00006686
154,-0.07194099,-0.00005776
155,-0.04600952,-0.00006463
156,-0.02013657,-0.00006909
157,0.00565538,-0.00007054
158,0.03134390,-0.00006181
159,0.05691922,-0.00004645
160,0.08235395,-0.00003643
161,0.10762710,-0.00003223
162,0.13272921,-0.00003208
163,0.15763877,-0.00003385
164,0.18233570,-0.00003376
165,0.20679918,-0.00004125
166,0.23102139,-0.00004567
167,0.25498961,-0.00004028
168,0.27868042,-0.00002692
169,0.30207081,-0.00001910
170,0.32515194,-0.00001805
171,0.34791114,-0.00001777
172,0.37032955,-0.00001289
173,0.39239069,-0.00000717
174,0.41408618,0.00000138
175,0.43539122,0.00000354
176,0.45629731,0.00000660
177,0.47678510,0.00000004
178,0.49684347,-0.00000677
179,0.51646335,-0.00001116
180,0.53562891,-0.00001230
181,0.55432475,-0.00001274
182,0.57254127,-0.00001461
183,0.59026796,-0.00001677
