omega_sim,amplitude_sim,omega_phys,amplitude_phys,energy_ev,qec_gain,improvement,is_sweet_spot
0.004000,4.000000,0.080000,0.080000,5.264000e-11,0.128581,0.827470,0
0.004000,6.400000,0.080000,0.128000,5.264000e-11,0.126866,0.816433,0
0.004000,8.800000,0.080000,0.176000,5.264000e-11,0.127925,0.823245,0
0.004000,11.200000,0.080000,0.224000,5.264000e-11,0.206524,1.329060,1
0.004000,13.600000,0.080000,0.272000,5.264000e-11,0.136935,0.881234,0
0.004000,16.000000,0.080000,0.320000,5.264000e-11,0.121181,0.779850,0
0.006400,4.000000,0.128000,0.080000,8.422400e-11,0.126564,0.814487,0
0.006400,6.400000,0.128000,0.128000,8.422400e-11,0.157690,1.014797,0
0.006400,8.800000,0.128000,0.176000,8.422400e-11,0.185010,1.190611,1
0.006400,11.200000,0.128000,0.224000,8.422400e-11,0.105393,0.678243,0
0.006400,13.600000,0.128000,0.272000,8.422400e-11,0.155054,0.997832,0
0.006400,16.000000,0.128000,0.320000,8.422400e-11,0.291960,1.878875,1
0.008800,4.000000,0.176000,0.080000,1.158080e-10,0.121960,0.784864,0
0.008800,6.400000,0.176000,0.128000,1.158080e-10,0.196291,1.263212,1
0.008800,8.800000,0.176000,0.176000,1.158080e-10,0.283190,1.822441,1
0.008800,11.200000,0.176000,0.224000,1.158080e-10,0.124343,0.800194,0
0.008800,13.600000,0.176000,0.272000,1.158080e-10,0.332602,2.140425,1
0.008800,16.000000,0.176000,0.320000,1.158080e-10,0.383256,2.466404,1
0.011200,4.000000,0.224000,0.080000,1.473920e-10,0.124481,0.801084,0
0.011200,6.400000,0.224000,0.128000,1.473920e-10,0.276020,1.776298,1
0.011200,8.800000,0.224000,0.176000,1.473920e-10,0.243068,1.564241,1
0.011200,11.200000,0.224000,0.224000,1.473920e-10,0.286497,1.843722,1
0.011200,13.600000,0.224000,0.272000,1.473920e-10,0.122159,0.786140,0
0.011200,16.000000,0.224000,0.320000,1.473920e-10,0.321793,2.070863,1
0.013600,4.000000,0.272000,0.080000,1.789760e-10,0.224283,1.443347,1
0.013600,6.400000,0.272000,0.128000,1.789760e-10,0.253065,1.628572,1
0.013600,8.800000,0.272000,0.176000,1.789760e-10,0.227024,1.460988,1
0.013600,11.200000,0.272000,0.224000,1.789760e-10,0.108209,0.696370,0
0.013600,13.600000,0.272000,0.272000,1.789760e-10,0.286706,1.845065,1
0.013600,16.000000,0.272000,0.320000,1.789760e-10,0.305432,1.965577,1
0.016000,4.000000,0.320000,0.080000,2.105600e-10,0.120218,0.773651,0
0.016000,6.400000,0.320000,0.128000,2.105600e-10,0.228102,1.467924,1
0.016000,8.800000,0.320000,0.176000,2.105600e-10,0.174203,1.121067,1
0.016000,11.200000,0.320000,0.224000,2.105600e-10,0.148239,0.953976,0
0.016000,13.600000,0.320000,0.272000,2.105600e-10,0.151512,0.975040,0
0.016000,16.000000,0.320000,0.320000,2.105600e-10,0.190380,1.225171,1
